Month;export;working_days;ramadan_days;temperature;rainfall
Sep  2016;235093299;25;0;26.5721;252.888
Oct  2016;235381827;26;0;26.6892;269.057
Nov  2016;214565300;26;0;26.5876;308.27
Dec  2016;240629562;25;0;26.6843;311.074
Jan  2017;245948300;25;0;26.9451612903;185.5
Feb  2017;237038915;24;0;26.2214285714;115.3
Mar  2017;282554981;26;0;26.6870967742;287.5
Apr  2017;259334307;23;0;26.9566666667;516.5
May  2017;267691679;24;2;27.3451612903;321.4
Jun  2017;202898816;23;27;27.22;231.6
Jul  2017;263573399;26;0;27.0806451613;143.8
Aug  2017;275781265;26;0;27.0774193548;147.2
Sep  2017;257462706;24;0;27.0366666667;148.2
Oct  2017;248871154;26;0;27.1677419355;250.4
Nov  2017;235299400;26;0;27.0966666667;350.3
Dec  2017;224231528;24;0;26.8322580645;248
Jan  2018;230243559;26;0;26.6612903226;174.1
Feb  2018;229675755;23;0;26.2821428571;175.6
Mar  2018;242486531;25;0;26.5193548387;439.4
Apr  2018;269139021;24;0;27.0333333333;341.8
May  2018;256316263;24;13;27.1064516129;349.7
Jun  2018;189738765;15;16;27.35;90.4
Jul  2018;279790357;26;0;27.4129032258;29
Aug  2018;257767938;25;0;27.464516129;75.7
Sep  2018;244023307;24;0;26.6966666667;161.2
Oct  2018;216770228;27;0;26.8258064516;112.6
Nov  2018;207468077;25;0;27.0133333333;371.6
Dec  2018;196128479;24;0;26.9;322.3
Jan  2019;228229000;26;0;31.80645161;
Feb  2019;257239000;23;0;31.78571429;
Mar  2019;235709000;25;0;32.58064516;
Apr  2019;225216000;23;0;32.73333333;
May  2019;224379000;25;25;32.90322581;
Jun  2019;193610000;19;3;32.3;
Jul  2019;245077000;27;0;32.58064516;
Aug  2019;244094000;26;0;33.51612903;
Sep  2019;246035000;25;0;34.4;
Oct  2019;245917000;27;0;34.22580645;
Nov  2019;206287000;25;0;34.1;
Dec  2019;204204000;24;0;31.64516129;
Jan  2020;188496000;25;0;31.32258065;
Feb  2020;226020000;25;0;31.62068966;
Mar  2020;237992000;25;0;29.4516129;
Apr  2020;216962000;25;7;28.93333333;
May  2020;207490000;19;23;30.34615385;
Jun  2020;;25;0;;
Jul  2020;;26;0;;
Aug  2020;;24;0;;
Sep  2020;;26;0;;
Oct  2020;;26;0;;
Nov  2020;;25;0;;
Dec  2020;;25;0;;
