Q,THAILAND,INDONESIA,MALAYSIA,SINGAPORE,VIETNAM,CAMBODIA,TOTAL
Q1-2018,177700,164000,135932,0,60000,0,537632
Q2-2018,160600,161000,135382,0,60000,0,516982
Q3-2018,187900,169000,133535,0,55000,0,545435
Q4-2018,194200,159000,136897,0,50000,0,540097
Q1-2019,173000,168000,134835,0,55000,0,530835
Q2-2019(estimated),209000,170000,133467,0,60000,0,572467
Q3-2019-(estimated),209000,170000,134100,0,55000,0,568100
Q4-2019-(estimated),209000,170000,142598,0,60000,0,581598
