Month,SICOM_PRICE,PRICE_PERCENTAGE,EXPORT_VOLUME,NFTA_PRICE,NFTA_ADJ_SICOM,SICOM_ADJ_EXPOVOL,IDN_USD,IDN_USD_ADJ
Feb  2010,3.13,129,219788608,1392,2.32,350560000,9337,186740000
Mar  2010,3.34,671,257332416,1328,2.2133333333,374080000,9090,181800000
Apr  2010,3.95,1826,245887248,1332,2.22,442400000,9012.5,180250000
May  2010,3.67,-709,247361920,1131,1.885,411040000,9175,183500000
Jun  2010,3.57,-272,255633648,1216,2.0266666667,399840000,9060,181200000
Jul  2010,3.27,-840,269713184,1205,2.0083333333,366240000,8940,178800000
Aug  2010,3.32,153,249309680,1162,1.9366666667,371840000,9035,180700000
Sep  2010,3.53,633,229366112,1433,2.3883333333,395360000,8925,178500000
Oct  2010,3.92,1105,273506272,1643,2.7383333333,439040000,8937.5,178750000
Nov  2010,4.31,995,247754480,1433,2.3883333333,482720000,9034,180680000
Dec  2010,4.75,1021,247521808,1398,2.33,532000000,9010,180200000
Jan  2011,5.52,1621,258608048,1245,2.075,618240000,9048,180960000
Feb  2011,6.26,1341,245323088,1298,2.1633333333,701120000,8821.5,176430000
Mar  2011,5.42,-1342,270436640,1241,2.0683333333,607040000,8707.5,174150000
Apr  2011,5.85,793,290279808,1299,2.165,655200000,8564,171280000
May  2011,5.12,-1248,280611104,1151,1.9183333333,573440000,8535.5,170710000
Jun  2011,4.93,-371,264888080,1090,1.8166666667,552160000,8576.5,171530000
Jul  2011,4.73,-406,292745344,1063,1.7716666667,529760000,8500,170000000
Aug  2011,4.68,-106,266069680,923,1.5383333333,524160000,8533,170660000
Sep  2011,4.55,-278,252139920,892,1.4866666667,509600000,8790,175800000
Oct  2011,4.06,-1077,287331680,1093,1.8216666667,454720000,8852.5,177050000
Nov  2011,3.37,-1700,227027872,1121,1.8683333333,377440000,9110,182200000
Dec  2011,3.38,30,226721280,1035,1.725,378560000,9067.5,181350000
Jan  2012,3.63,740,220543872,1234,2.0566666667,406560000,8990,179800000
Feb  2012,4,1019,233886656,1252,2.0866666667,448000000,9020,180400000
Mar  2012,3.93,-175,257909568,1311,2.185,440160000,9144,182880000
Apr  2012,3.84,-229,252820320,1398,2.33,430080000,9190.5,183810000
May  2012,3.73,-286,293717824,1248,2.08,417760000,9400,188000000
Jun  2012,3.2,-1421,293061024,1202,2.0033333333,358400000,9392.5,187850000
Jul  2012,3.08,-375,270175200,1231,2.0516666667,344960000,9445,188900000
Aug  2012,2.79,-942,254311680,1284,2.14,312480000,9535,190700000
Sep  2012,3.04,896,256173664,1402,2.3366666667,340480000,9570,191400000
Oct  2012,3.2,526,254548000,1492,2.4866666667,358400000,9605,192100000
Nov  2012,2.97,-719,252152160,1551,2.585,332640000,9593.5,191870000
Dec  2012,3.11,471,238779088,1619,2.6983333333,348320000,9637.5,192750000
Jan  2013,3.3,611,246198064,1689,2.815,369600000,9697.5,193950000
Feb  2013,3.19,-333,257517184,1775,2.9583333333,357280000,9663.5,193270000
Mar  2013,2.98,-658,283101600,1867,3.1116666667,333760000,9717.5,194350000
Apr  2013,2.87,-369,278880448,1821,3.035,321440000,9722.5,194450000
May  2013,3.04,592,295725344,1914,3.19,340480000,9795,195900000
Jun  2013,2.81,-757,270456768,1799,2.9983333333,314720000,9925,198500000
Jul  2013,2.56,-890,322455008,2013,3.355,286720000,10277.5,205550000
Aug  2013,2.57,39,251653296,2108,3.5133333333,287840000,10920,218400000
Sep  2013,2.64,272,284887136,2276,3.7933333333,295680000,11580,231600000
Oct  2013,2.53,-417,308099200,2272,3.7866666667,283360000,11272.5,225450000
Nov  2013,2.49,-158,284577280,2405,4.0083333333,278880000,11962.5,239250000
Dec  2013,2.56,281,287989088,2397,3.995,286720000,12170,243400000
Jan  2014,2.34,-859,276402240,2394,3.99,262080000,12210,244200000
Feb  2014,2.17,-726,286104512,2412,4.02,243040000,11609,232180000
Mar  2014,2.29,553,292253408,2601,4.335,256480000,11360,227200000
Apr  2014,2.15,-611,302254656,2591,4.3183333333,240800000,11561.5,231230000
May  2014,2.02,-605,282399712,2525,4.2083333333,226240000,11675,233500000
Jun  2014,2.04,99,270350784,2538,4.23,228480000,11855,237100000
Jul  2014,2,-196,251922032,2460,4.1,224000000,11577.5,231550000
Aug  2014,1.86,-700,271347680,2560,4.2666666667,208320000,11690,233800000
Sep  2014,1.67,-1022,292304928,2595,4.325,187040000,12185,243700000
Oct  2014,1.63,-240,274818528,2470,4.1166666667,182560000,12085,241700000
Nov  2014,1.64,61,234810816,2336,3.8933333333,183680000,12204,244080000
Dec  2014,1.61,-183,261347216,1937,3.2283333333,180320000,12385,247700000
Jan  2015,1.66,311,239863072,1991,3.3183333333,185920000,12667.5,253350000
Feb  2015,1.82,964,244840672,2211,3.685,203840000,12925,258500000
Mar  2015,1.74,-440,269896416,2048,3.4133333333,194880000,13075,261500000
Apr  2015,1.7,-228,310945280,2193,3.655,190400000,12962.5,259250000
May  2015,1.84,822,274045731,2604,4.34,206080000,13224,264480000
Jun  2015,1.82,-109,308348539,2452,4.0866666667,203840000,13332.5,266650000
Jul  2015,1.64,-989,262351318,2550,4.25,183680000,13527.5,270550000
Aug  2015,1.45,-1159,313285278,2250,3.75,162400000,14050,281000000
Sep  2015,1.35,-690,288319079,2071,3.4516666667,151200000,14650,293000000
Oct  2015,1.33,-148,278693509,2162,3.6033333333,148960000,13687.5,273750000
Nov  2015,1.24,-677,248163260,2060,3.4333333333,138880000,13835,276700000
Dec  2015,1.27,242,271638333,1913,3.1883333333,142240000,13787.5,275750000
Jan  2016,1.23,-315,239309232,1785,2.975,137760000,13775,275500000
Feb  2016,1.27,325,266749483,1863,3.105,142240000,13372,267440000
Mar  2016,1.46,1496,265664579,1909,3.1816666667,163520000,13260,265200000
Apr  2016,1.71,1712,282913398,1913,3.1883333333,191520000,13185,263700000
May  2016,1.63,-468,264125662,1909,3.1816666667,182560000,13660,273200000
Jun  2016,1.49,-859,289600012,1891,3.1516666667,166880000,13212.5,264250000
Jul  2016,1.59,671,227251052,2354,3.9233333333,178080000,13098.5,261970000
Aug  2016,1.55,-252,295013101,2267,3.7783333333,173600000,13267.5,265350000
Sep  2016,1.57,129,302590335,2114,3.5233333333,175840000,13051,261020000
Oct  2016,1.66,573,297775892,2083,3.4716666667,185920000,13048,260960000
Nov  2016,1.87,1265,278471884,2209,3.6816666667,209440000,13552.5,271050000
Dec  2016,2.23,1925,307758831,2484,4.14,249760000,13472.5,269450000
Jan  2017,2.56,1480,315440490,2510,4.1833333333,286720000,13352,267040000
Feb  2017,2.71,586,308013915,2585,4.3083333333,303520000,13336,266720000
Mar  2017,2.35,-1328,365378443,2551,4.2516666667,263200000,13325.5,266510000
Apr  2017,2.21,-596,336447051,2934,4.89,247520000,13329,266580000
May  2017,2.1,-498,349210210,3000,5,235200000,13322.5,266450000
Jun  2017,1.72,-1810,259663221,2769,4.615,192640000,13327.5,266550000
Jul  2017,1.75,174,342478369,2421,4.035,196000000,13325,266500000
Aug  2017,1.84,514,357223828,2420,4.0333333333,206080000,13343,266860000
Sep  2017,1.86,109,344582113,2086,3.4766666667,208320000,13471.5,269430000
Oct  2017,1.64,-1183,343833759,2047,3.4116666667,183680000,13562.5,271250000
Nov  2017,1.57,-427,324972898,2145,3.575,175840000,13526,270520000
Dec  2017,1.65,510,291195542,2463,4.105,184800000,13567.5,271350000
Jan  2018,1.72,424,295802200,2299,3.8316666667,192640000,13388.5,267770000
Feb  2018,1.72,0,294655789,2315,3.8583333333,192640000,13745,274900000
Mar  2018,1.76,233,315322457,2275,3.7916666667,197120000,13765,275300000
Apr  2018,1.73,-170,341434623,2266,3.7766666667,193760000,13912.5,278250000
May  2018,1.7,-173,331055881,2299,3.8316666667,190400000,13895,277900000
Jun  2018,1.56,-824,232634397,2143,3.5716666667,174720000,14330,286600000
Jul  2018,1.47,-577,349883154,2100,3.5,164640000,14420,288400000
Aug  2018,1.47,0,325217881,2280,3.8,164640000,14730,294600000
Sep  2018,1.44,-204,311725340,2494,4.1566666667,161280000,14901.5,298030000
Oct  2018,1.43,-69,286331265,2335,3.8916666667,160160000,15202.5,304050000
Nov  2018,1.35,-559,276362845,2561,4.2683333333,151200000,14302.5,286050000
Dec  2018,1.44,667,258909764,2380,3.9666666667,161280000,14380,287600000
