month,year,value,parameter,value_std
Feb,2010,90.01,CRUDE_OIL_PRICE_BARREL_PREV,3.5083727103
Mar,2010,92.69,CRUDE_OIL_PRICE_BARREL_PREV,3.6158541228
Apr,2010,97.91,CRUDE_OIL_PRICE_BARREL_PREV,3.8252022472
May,2010,108.65,CRUDE_OIL_PRICE_BARREL_PREV,4.2559299973
Jun,2010,116.24,CRUDE_OIL_PRICE_BARREL_PREV,4.5603269828
Jul,2010,108.07,CRUDE_OIL_PRICE_BARREL_PREV,4.2326690946
Aug,2010,105.85,CRUDE_OIL_PRICE_BARREL_PREV,4.1436359842
Sep,2010,107.92,CRUDE_OIL_PRICE_BARREL_PREV,4.2266533439
Oct,2010,100.49,CRUDE_OIL_PRICE_BARREL_PREV,3.9286731592
Nov,2010,100.82,CRUDE_OIL_PRICE_BARREL_PREV,3.9419078107
Dec,2010,99.85,CRUDE_OIL_PRICE_BARREL_PREV,3.9030059562
Jan,2011,105.41,CRUDE_OIL_PRICE_BARREL_PREV,4.1259897822
Feb,2011,104.23,CRUDE_OIL_PRICE_BARREL_PREV,4.0786658767
Mar,2011,107.07,CRUDE_OIL_PRICE_BARREL_PREV,4.1925640899
Apr,2011,112.69,CRUDE_OIL_PRICE_BARREL_PREV,4.4179542162
May,2011,117.79,CRUDE_OIL_PRICE_BARREL_PREV,4.62248974
Jun,2011,113.67,CRUDE_OIL_PRICE_BARREL_PREV,4.4572571208
Jul,2011,104.09,CRUDE_OIL_PRICE_BARREL_PREV,4.073051176
Aug,2011,90.73,CRUDE_OIL_PRICE_BARREL_PREV,3.5372483136
Sep,2011,96.75,CRUDE_OIL_PRICE_BARREL_PREV,3.7786804417
Oct,2011,105.27,CRUDE_OIL_PRICE_BARREL_PREV,4.1203750815
Nov,2011,106.28,CRUDE_OIL_PRICE_BARREL_PREV,4.1608811362
Dec,2011,103.41,CRUDE_OIL_PRICE_BARREL_PREV,4.0457797728
Jan,2012,101.17,CRUDE_OIL_PRICE_BARREL_PREV,3.9559445624
Feb,2012,101.19,CRUDE_OIL_PRICE_BARREL_PREV,3.9567466625
Mar,2012,105.1,CRUDE_OIL_PRICE_BARREL_PREV,4.1135572307
Apr,2012,107.64,CRUDE_OIL_PRICE_BARREL_PREV,4.2154239426
May,2012,102.52,CRUDE_OIL_PRICE_BARREL_PREV,4.0100863187
Jun,2012,98.85,CRUDE_OIL_PRICE_BARREL_PREV,3.8629009515
Jul,2012,99.37,CRUDE_OIL_PRICE_BARREL_PREV,3.883755554
Aug,2012,99.74,CRUDE_OIL_PRICE_BARREL_PREV,3.8985944057
Sep,2012,105.26,CRUDE_OIL_PRICE_BARREL_PREV,4.1199740315
Oct,2012,108.16,CRUDE_OIL_PRICE_BARREL_PREV,4.236278545
Nov,2012,108.76,CRUDE_OIL_PRICE_BARREL_PREV,4.2603415478
Dec,2012,105.43,CRUDE_OIL_PRICE_BARREL_PREV,4.1267918823
Jan,2013,102.63,CRUDE_OIL_PRICE_BARREL_PREV,4.0144978692
Feb,2013,105.48,CRUDE_OIL_PRICE_BARREL_PREV,4.1287971325
Mar,2013,102.1,CRUDE_OIL_PRICE_BARREL_PREV,3.9932422167
Apr,2013,104.83,CRUDE_OIL_PRICE_BARREL_PREV,4.1027288795
May,2013,104.04,CRUDE_OIL_PRICE_BARREL_PREV,4.0710459258
Jun,2013,104.87,CRUDE_OIL_PRICE_BARREL_PREV,4.1043330797
Jul,2013,105.71,CRUDE_OIL_PRICE_BARREL_PREV,4.1380212836
Aug,2013,108.37,CRUDE_OIL_PRICE_BARREL_PREV,4.244700596
Sep,2013,105.23,CRUDE_OIL_PRICE_BARREL_PREV,4.1187708813
Oct,2013,100.05,CRUDE_OIL_PRICE_BARREL_PREV,3.9110269571
Nov,2013,95.85,CRUDE_OIL_PRICE_BARREL_PREV,3.7425859375
Dec,2013,86.08,CRUDE_OIL_PRICE_BARREL_PREV,3.3507600419
Jan,2014,76.99,CRUDE_OIL_PRICE_BARREL_PREV,2.9862055494
Feb,2014,60.7,CRUDE_OIL_PRICE_BARREL_PREV,2.3328950233
Mar,2014,47.11,CRUDE_OIL_PRICE_BARREL_PREV,1.7878680099
Apr,2014,54.79,CRUDE_OIL_PRICE_BARREL_PREV,2.0958744457
May,2014,52.83,CRUDE_OIL_PRICE_BARREL_PREV,2.0172686366
Jun,2014,57.54,CRUDE_OIL_PRICE_BARREL_PREV,2.2061632086
Jul,2014,62.51,CRUDE_OIL_PRICE_BARREL_PREV,2.4054850818
Aug,2014,61.31,CRUDE_OIL_PRICE_BARREL_PREV,2.3573590762
Sep,2014,54.34,CRUDE_OIL_PRICE_BARREL_PREV,2.0778271936
Oct,2014,45.69,CRUDE_OIL_PRICE_BARREL_PREV,1.7309189032
Nov,2014,46.28,CRUDE_OIL_PRICE_BARREL_PREV,1.754580856
Dec,2014,46.96,CRUDE_OIL_PRICE_BARREL_PREV,1.7818522592
Jan,2015,43.11,CRUDE_OIL_PRICE_BARREL_PREV,1.6274479912
Feb,2015,36.57,CRUDE_OIL_PRICE_BARREL_PREV,1.3651612606
Mar,2015,29.78,CRUDE_OIL_PRICE_BARREL_PREV,1.0928482789
Apr,2015,31.03,CRUDE_OIL_PRICE_BARREL_PREV,1.1429795348
May,2015,37.34,CRUDE_OIL_PRICE_BARREL_PREV,1.3960421142
Jun,2015,40.75,CRUDE_OIL_PRICE_BARREL_PREV,1.5328001802
Jul,2015,45.94,CRUDE_OIL_PRICE_BARREL_PREV,1.7409451544
Aug,2015,47.69,CRUDE_OIL_PRICE_BARREL_PREV,1.8111289126
Sep,2015,44.13,CRUDE_OIL_PRICE_BARREL_PREV,1.6683550959
Oct,2015,44.88,CRUDE_OIL_PRICE_BARREL_PREV,1.6984338495
Nov,2015,45.04,CRUDE_OIL_PRICE_BARREL_PREV,1.7048506502
Dec,2015,49.29,CRUDE_OIL_PRICE_BARREL_PREV,1.87529692
Jan,2016,45.26,CRUDE_OIL_PRICE_BARREL_PREV,1.7136737512
Feb,2016,52.62,CRUDE_OIL_PRICE_BARREL_PREV,2.0088465856
Mar,2016,53.59,CRUDE_OIL_PRICE_BARREL_PREV,2.0477484401
Apr,2016,54.35,CRUDE_OIL_PRICE_BARREL_PREV,2.0782282437
May,2016,50.9,CRUDE_OIL_PRICE_BARREL_PREV,1.9398659776
Jun,2016,52.16,CRUDE_OIL_PRICE_BARREL_PREV,1.9903982835
Jul,2016,49.89,CRUDE_OIL_PRICE_BARREL_PREV,1.8993599229
Aug,2016,46.17,CRUDE_OIL_PRICE_BARREL_PREV,1.7501693055
Sep,2016,47.66,CRUDE_OIL_PRICE_BARREL_PREV,1.8099257624
Oct,2016,49.94,CRUDE_OIL_PRICE_BARREL_PREV,1.9013651731
Nov,2016,52.95,CRUDE_OIL_PRICE_BARREL_PREV,2.0220812371
Dec,2016,54.92,CRUDE_OIL_PRICE_BARREL_PREV,2.1010880963
Jan,2017,59.93,CRUDE_OIL_PRICE_BARREL_PREV,2.3020141697
Feb,2017,61.19,CRUDE_OIL_PRICE_BARREL_PREV,2.3525464756
Mar,2017,66.23,CRUDE_OIL_PRICE_BARREL_PREV,2.5546756992
Apr,2017,63.46,CRUDE_OIL_PRICE_BARREL_PREV,2.4435848362
May,2017,64.17,CRUDE_OIL_PRICE_BARREL_PREV,2.4720593896
Jun,2017,68.79,CRUDE_OIL_PRICE_BARREL_PREV,2.6573445111
Jul,2017,73.43,CRUDE_OIL_PRICE_BARREL_PREV,2.8434317328
Aug,2017,71.98,CRUDE_OIL_PRICE_BARREL_PREV,2.785279476
Sep,2017,72.67,CRUDE_OIL_PRICE_BARREL_PREV,2.8129519293
Oct,2017,71.08,CRUDE_OIL_PRICE_BARREL_PREV,2.7491849718
Nov,2017,75.36,CRUDE_OIL_PRICE_BARREL_PREV,2.9208343918
Dec,2017,76.73,CRUDE_OIL_PRICE_BARREL_PREV,2.9757782482
Jan,2018,62.32,CRUDE_OIL_PRICE_BARREL_PREV,2.3978651309
Feb,2018,53.96,CRUDE_OIL_PRICE_BARREL_PREV,2.0625872919
Mar,2018,56.58,CRUDE_OIL_PRICE_BARREL_PREV,2.1676624041
Apr,2018,61.13,CRUDE_OIL_PRICE_BARREL_PREV,2.3501401754
May,2018,63.79,CRUDE_OIL_PRICE_BARREL_PREV,2.4568194878
Jun,2018,68.58,CRUDE_OIL_PRICE_BARREL_PREV,2.6489224602
Jul,2018,66.83,CRUDE_OIL_PRICE_BARREL_PREV,2.578738702
Aug,2018,59.76,CRUDE_OIL_PRICE_BARREL_PREV,2.295196319
Sep,2018,61.48,CRUDE_OIL_PRICE_BARREL_PREV,2.364176927
Oct,2018,57.67,CRUDE_OIL_PRICE_BARREL_PREV,2.2113768592
Nov,2018,60.04,CRUDE_OIL_PRICE_BARREL_PREV,2.3064257203
Dec,2018,57.27,CRUDE_OIL_PRICE_BARREL_PREV,2.1953348573
Jan,2007,0.1143,CRUDE_OIL_PRICE_CHANGE_PREV,4.3217051893
Feb,2007,-0.0199,CRUDE_OIL_PRICE_CHANGE_PREV,2.7514647234
Mar,2007,0.0131,CRUDE_OIL_PRICE_CHANGE_PREV,3.1375894281
Apr,2007,0.0298,CRUDE_OIL_PRICE_CHANGE_PREV,3.3329919302
May,2007,0.0905,CRUDE_OIL_PRICE_CHANGE_PREV,4.043227372
Jun,2007,0.0679,CRUDE_OIL_PRICE_CHANGE_PREV,3.778790453
Jul,2007,0.1275,CRUDE_OIL_PRICE_CHANGE_PREV,4.4761550712
Aug,2007,0.0725,CRUDE_OIL_PRICE_CHANGE_PREV,3.8326138967
Sep,2007,0.01,CRUDE_OIL_PRICE_CHANGE_PREV,3.1013171074
Oct,2007,-0.1375,CRUDE_OIL_PRICE_CHANGE_PREV,1.3754566847
Nov,2007,-0.1301,CRUDE_OIL_PRICE_CHANGE_PREV,1.4620422246
Dec,2007,-0.2706,CRUDE_OIL_PRICE_CHANGE_PREV,-0.1819129577
Jan,2008,-0.2575,CRUDE_OIL_PRICE_CHANGE_PREV,-0.0286331507
Feb,2008,-0.234,CRUDE_OIL_PRICE_CHANGE_PREV,0.2463344421
Mar,2008,0.061,CRUDE_OIL_PRICE_CHANGE_PREV,3.6980552874
Apr,2008,-0.0461,CRUDE_OIL_PRICE_CHANGE_PREV,2.4449051093
May,2008,0.115,CRUDE_OIL_PRICE_CHANGE_PREV,4.3298957134
Jun,2008,0.0778,CRUDE_OIL_PRICE_CHANGE_PREV,3.8946278644
Jul,2008,0.1565,CRUDE_OIL_PRICE_CHANGE_PREV,4.8154767814
Aug,2008,0.1892,CRUDE_OIL_PRICE_CHANGE_PREV,5.1980912616
Sep,2008,-0.0648,CRUDE_OIL_PRICE_CHANGE_PREV,2.22610111
Oct,2008,0.1076,CRUDE_OIL_PRICE_CHANGE_PREV,4.2433101735
Nov,2008,-0.0458,CRUDE_OIL_PRICE_CHANGE_PREV,2.4484153339
Dec,2008,0.0838,CRUDE_OIL_PRICE_CHANGE_PREV,3.9648323562
Jan,2009,0.0468,CRUDE_OIL_PRICE_CHANGE_PREV,3.5319046569
Feb,2009,-0.0344,CRUDE_OIL_PRICE_CHANGE_PREV,2.5818038683
Mar,2009,0.0299,CRUDE_OIL_PRICE_CHANGE_PREV,3.3341620051
Apr,2009,-0.0306,CRUDE_OIL_PRICE_CHANGE_PREV,2.6262667131
May,2009,0.0607,CRUDE_OIL_PRICE_CHANGE_PREV,3.6945450628
Jun,2009,0.0615,CRUDE_OIL_PRICE_CHANGE_PREV,3.7039056617
Jul,2009,-0.1017,CRUDE_OIL_PRICE_CHANGE_PREV,1.7943434856
Aug,2009,-0.0118,CRUDE_OIL_PRICE_CHANGE_PREV,2.8462407873
Sep,2009,-0.002,CRUDE_OIL_PRICE_CHANGE_PREV,2.9609081239
Oct,2009,0.0168,CRUDE_OIL_PRICE_CHANGE_PREV,3.1808821981
Nov,2009,0.0038,CRUDE_OIL_PRICE_CHANGE_PREV,3.0287724659
Dec,2009,0.0736,CRUDE_OIL_PRICE_CHANGE_PREV,3.8454847202
Jan,2010,0.0344,CRUDE_OIL_PRICE_CHANGE_PREV,3.3868153739
Feb,2010,0.0648,CRUDE_OIL_PRICE_CHANGE_PREV,3.7425181322
Mar,2010,0.0298,CRUDE_OIL_PRICE_CHANGE_PREV,3.3329919302
Apr,2010,0.0563,CRUDE_OIL_PRICE_CHANGE_PREV,3.6430617689
May,2010,0.1097,CRUDE_OIL_PRICE_CHANGE_PREV,4.2678817456
Jun,2010,0.0699,CRUDE_OIL_PRICE_CHANGE_PREV,3.8021919502
Jul,2010,-0.0703,CRUDE_OIL_PRICE_CHANGE_PREV,2.1617469925
Aug,2010,-0.0205,CRUDE_OIL_PRICE_CHANGE_PREV,2.7444442742
Sep,2010,0.0196,CRUDE_OIL_PRICE_CHANGE_PREV,3.2136442942
Oct,2010,-0.0688,CRUDE_OIL_PRICE_CHANGE_PREV,2.1792981155
Nov,2010,0.0033,CRUDE_OIL_PRICE_CHANGE_PREV,3.0229220916
Dec,2010,-0.0096,CRUDE_OIL_PRICE_CHANGE_PREV,2.8719824343
Jan,2011,0.0557,CRUDE_OIL_PRICE_CHANGE_PREV,3.6360413197
Feb,2011,-0.0112,CRUDE_OIL_PRICE_CHANGE_PREV,2.8532612365
Mar,2011,0.0272,CRUDE_OIL_PRICE_CHANGE_PREV,3.3025699838
Apr,2011,0.0525,CRUDE_OIL_PRICE_CHANGE_PREV,3.5985989241
May,2011,0.0453,CRUDE_OIL_PRICE_CHANGE_PREV,3.514353534
Jun,2011,-0.035,CRUDE_OIL_PRICE_CHANGE_PREV,2.5747834191
Jul,2011,-0.0843,CRUDE_OIL_PRICE_CHANGE_PREV,1.9979365117
Aug,2011,-0.1284,CRUDE_OIL_PRICE_CHANGE_PREV,1.4819334972
Sep,2011,0.0664,CRUDE_OIL_PRICE_CHANGE_PREV,3.76123933
Oct,2011,0.0881,CRUDE_OIL_PRICE_CHANGE_PREV,4.0151455753
Nov,2011,0.0096,CRUDE_OIL_PRICE_CHANGE_PREV,3.0966368079
Dec,2011,-0.027,CRUDE_OIL_PRICE_CHANGE_PREV,2.6683894081
Jan,2012,-0.0217,CRUDE_OIL_PRICE_CHANGE_PREV,2.7304033759
Feb,2012,0.0002,CRUDE_OIL_PRICE_CHANGE_PREV,2.9866497708
Mar,2012,0.0386,CRUDE_OIL_PRICE_CHANGE_PREV,3.4359585182
Apr,2012,0.0242,CRUDE_OIL_PRICE_CHANGE_PREV,3.2674677379
May,2012,-0.0476,CRUDE_OIL_PRICE_CHANGE_PREV,2.4273539864
Jun,2012,-0.0358,CRUDE_OIL_PRICE_CHANGE_PREV,2.5654228202
Jul,2012,0.0053,CRUDE_OIL_PRICE_CHANGE_PREV,3.0463235888
Aug,2012,0.0037,CRUDE_OIL_PRICE_CHANGE_PREV,3.027602391
Sep,2012,0.0553,CRUDE_OIL_PRICE_CHANGE_PREV,3.6313610203
Oct,2012,0.0276,CRUDE_OIL_PRICE_CHANGE_PREV,3.3072502833
Nov,2012,0.0055,CRUDE_OIL_PRICE_CHANGE_PREV,3.0486637386
Dec,2012,-0.0306,CRUDE_OIL_PRICE_CHANGE_PREV,2.6262667131
Jan,2013,-0.0266,CRUDE_OIL_PRICE_CHANGE_PREV,2.6730697076
Feb,2013,0.0278,CRUDE_OIL_PRICE_CHANGE_PREV,3.309590433
Mar,2013,-0.032,CRUDE_OIL_PRICE_CHANGE_PREV,2.609885665
Apr,2013,0.0267,CRUDE_OIL_PRICE_CHANGE_PREV,3.2967196095
May,2013,-0.0075,CRUDE_OIL_PRICE_CHANGE_PREV,2.8965540064
Jun,2013,0.008,CRUDE_OIL_PRICE_CHANGE_PREV,3.0779156101
Jul,2013,0.008,CRUDE_OIL_PRICE_CHANGE_PREV,3.0779156101
Aug,2013,0.0252,CRUDE_OIL_PRICE_CHANGE_PREV,3.2791684865
Sep,2013,-0.029,CRUDE_OIL_PRICE_CHANGE_PREV,2.6449879109
Oct,2013,-0.0492,CRUDE_OIL_PRICE_CHANGE_PREV,2.4086327886
Nov,2013,-0.042,CRUDE_OIL_PRICE_CHANGE_PREV,2.4928781787
Dec,2013,-0.1019,CRUDE_OIL_PRICE_CHANGE_PREV,1.7920033359
Jan,2014,-0.1056,CRUDE_OIL_PRICE_CHANGE_PREV,1.748710566
Feb,2014,-0.2116,CRUDE_OIL_PRICE_CHANGE_PREV,0.5084312114
Mar,2014,-0.2239,CRUDE_OIL_PRICE_CHANGE_PREV,0.3645120032
Apr,2014,0.163,CRUDE_OIL_PRICE_CHANGE_PREV,4.8915316475
May,2014,-0.0358,CRUDE_OIL_PRICE_CHANGE_PREV,2.5654228202
Jun,2014,0.0892,CRUDE_OIL_PRICE_CHANGE_PREV,4.0280163988
Jul,2014,0.0863,CRUDE_OIL_PRICE_CHANGE_PREV,3.9940842277
Aug,2014,-0.0192,CRUDE_OIL_PRICE_CHANGE_PREV,2.7596552474
Sep,2014,-0.1137,CRUDE_OIL_PRICE_CHANGE_PREV,1.6539345021
Oct,2014,-0.1592,CRUDE_OIL_PRICE_CHANGE_PREV,1.1215504395
Nov,2014,0.0129,CRUDE_OIL_PRICE_CHANGE_PREV,3.1352492784
Dec,2014,0.0147,CRUDE_OIL_PRICE_CHANGE_PREV,3.1563106259
Jan,2015,-0.082,CRUDE_OIL_PRICE_CHANGE_PREV,2.0248482336
Feb,2015,-0.1517,CRUDE_OIL_PRICE_CHANGE_PREV,1.2093060542
Mar,2015,-0.1857,CRUDE_OIL_PRICE_CHANGE_PREV,0.8114806008
Apr,2015,0.042,CRUDE_OIL_PRICE_CHANGE_PREV,3.4757410635
May,2015,0.2034,CRUDE_OIL_PRICE_CHANGE_PREV,5.3642418921
Jun,2015,0.0913,CRUDE_OIL_PRICE_CHANGE_PREV,4.0525879709
Jul,2015,0.1274,CRUDE_OIL_PRICE_CHANGE_PREV,4.4749849964
Aug,2015,0.0381,CRUDE_OIL_PRICE_CHANGE_PREV,3.4301081438
Sep,2015,-0.0746,CRUDE_OIL_PRICE_CHANGE_PREV,2.1114337734
Oct,2015,0.017,CRUDE_OIL_PRICE_CHANGE_PREV,3.1832223478
Nov,2015,0.0036,CRUDE_OIL_PRICE_CHANGE_PREV,3.0264323162
Dec,2015,0.0944,CRUDE_OIL_PRICE_CHANGE_PREV,4.0888602916
Jan,2016,-0.0818,CRUDE_OIL_PRICE_CHANGE_PREV,2.0271883833
Feb,2016,0.1626,CRUDE_OIL_PRICE_CHANGE_PREV,4.8868513481
Mar,2016,0.0184,CRUDE_OIL_PRICE_CHANGE_PREV,3.1996033959
Apr,2016,0.0142,CRUDE_OIL_PRICE_CHANGE_PREV,3.1504602516
May,2016,-0.0635,CRUDE_OIL_PRICE_CHANGE_PREV,2.2413120832
Jun,2016,0.0248,CRUDE_OIL_PRICE_CHANGE_PREV,3.2744881871
Jul,2016,-0.0435,CRUDE_OIL_PRICE_CHANGE_PREV,2.4753270558
Aug,2016,-0.0746,CRUDE_OIL_PRICE_CHANGE_PREV,2.1114337734
Sep,2016,0.0323,CRUDE_OIL_PRICE_CHANGE_PREV,3.3622438018
Oct,2016,0.0478,CRUDE_OIL_PRICE_CHANGE_PREV,3.5436054055
Nov,2016,0.0603,CRUDE_OIL_PRICE_CHANGE_PREV,3.6898647634
Dec,2016,0.0372,CRUDE_OIL_PRICE_CHANGE_PREV,3.4195774701
Jan,2017,0.0912,CRUDE_OIL_PRICE_CHANGE_PREV,4.051417896
Feb,2017,0.021,CRUDE_OIL_PRICE_CHANGE_PREV,3.2300253423
Mar,2017,0.0824,CRUDE_OIL_PRICE_CHANGE_PREV,3.9484513081
Apr,2017,-0.0418,CRUDE_OIL_PRICE_CHANGE_PREV,2.4952183284
May,2017,0.0112,CRUDE_OIL_PRICE_CHANGE_PREV,3.1153580057
Jun,2017,0.072,CRUDE_OIL_PRICE_CHANGE_PREV,3.8267635223
Jul,2017,0.0675,CRUDE_OIL_PRICE_CHANGE_PREV,3.7741101535
Aug,2017,-0.0197,CRUDE_OIL_PRICE_CHANGE_PREV,2.7538048731
Sep,2017,0.0096,CRUDE_OIL_PRICE_CHANGE_PREV,3.0966368079
Oct,2017,-0.0219,CRUDE_OIL_PRICE_CHANGE_PREV,2.7280632262
Nov,2017,0.0602,CRUDE_OIL_PRICE_CHANGE_PREV,3.6886946885
Dec,2017,0.0182,CRUDE_OIL_PRICE_CHANGE_PREV,3.1972632461
Jan,2018,-0.1878,CRUDE_OIL_PRICE_CHANGE_PREV,0.7869090287
Feb,2018,-0.1341,CRUDE_OIL_PRICE_CHANGE_PREV,1.4152392301
Mar,2018,0.0486,CRUDE_OIL_PRICE_CHANGE_PREV,3.5529660044
Apr,2018,0.0804,CRUDE_OIL_PRICE_CHANGE_PREV,3.9250498108
May,2018,0.0435,CRUDE_OIL_PRICE_CHANGE_PREV,3.4932921864
Jun,2018,0.0751,CRUDE_OIL_PRICE_CHANGE_PREV,3.8630358431
Jul,2018,-0.0255,CRUDE_OIL_PRICE_CHANGE_PREV,2.6859405311
Aug,2018,-0.1058,CRUDE_OIL_PRICE_CHANGE_PREV,1.7463704162
Sep,2018,0.0288,CRUDE_OIL_PRICE_CHANGE_PREV,3.3212911816
Oct,2018,-0.062,CRUDE_OIL_PRICE_CHANGE_PREV,2.2588632062
Nov,2018,0.0411,CRUDE_OIL_PRICE_CHANGE_PREV,3.4652103897
Dec,2018,-0.0461,CRUDE_OIL_PRICE_CHANGE_PREV,2.4449051093
Jan,2007,8993.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9661245306
Feb,2007,9100,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0190836633
Mar,2007,9131.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0347476322
Apr,2007,9120,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0290290404
May,2007,9088,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0131164371
Jun,2007,8827,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.8833292667
Jul,2007,9035,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9867611879
Aug,2007,9225,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0812422699
Sep,2007,9390,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1632916305
Oct,2007,9145,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0414607617
Nov,2007,9097.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0178404912
Dec,2007,9370,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1533462535
Jan,2008,9392.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1645348026
Feb,2008,9246.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0919335502
Mar,2008,9065,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0016792535
Apr,2008,9215,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0762695814
May,2008,9222,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0797504633
Jun,2008,9315,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1259964666
Jul,2008,9220,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0787559256
Aug,2008,9095,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0165973191
Sep,2008,9150,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.043947106
Oct,2008,9415,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1757233518
Nov,2008,10900,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.9141675975
Dec,2008,12025,USD_ISD_EXCHANGE_RATE_PRICE_PREV,3.4735950564
Jan,2009,10900,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.9141675975
Feb,2009,11380,USD_ISD_EXCHANGE_RATE_PRICE_PREV,3.1528566466
Mar,2009,11980,USD_ISD_EXCHANGE_RATE_PRICE_PREV,3.451217958
Apr,2009,11555,USD_ISD_EXCHANGE_RATE_PRICE_PREV,3.2398786958
May,2009,10585,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.757527909
Jun,2009,10290,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.6108335976
Jul,2009,10207.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.5698089173
Aug,2009,9925,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.4293304665
Sep,2009,10080,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.5064071386
Oct,2009,9645,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.2900951879
Nov,2009,9550,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.2428546469
Dec,2009,9455,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1956141059
Jan,2010,9425,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1806960403
Feb,2010,9350,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1434008764
Mar,2010,9337,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1369363813
Apr,2010,9090,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0141109748
May,2010,9012.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9755726388
Jun,2010,9175,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0563788273
Jul,2010,9060,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9991929092
Aug,2010,8940,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.939520647
Sep,2010,9035,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9867611879
Oct,2010,8925,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9320616142
Nov,2010,8937.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9382774748
Dec,2010,9034,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9862639191
Jan,2011,9010,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9743294666
Feb,2011,9048,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.993225683
Mar,2011,8821.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.880594288
Apr,2011,8707.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.8239056388
May,2011,8564,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.7525475585
Jun,2011,8535.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.7383753962
Jul,2011,8576.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.7587634192
Aug,2011,8500,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.720722352
Sep,2011,8533,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.7371322241
Oct,2011,8790,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.8649303191
Nov,2011,8852.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.8960096224
Dec,2011,9110,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0240563519
Jan,2012,9067.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0029224256
Feb,2012,8990,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9643840896
Mar,2012,9020,USD_ISD_EXCHANGE_RATE_PRICE_PREV,1.9793021552
Apr,2012,9144,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0409634928
May,2012,9190.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.0640864945
Jun,2012,9400,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.168264319
Jul,2012,9392.5,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1645348026
Aug,2012,9445,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.1906414174
Sep,2012,9535,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.2353956141
Oct,2012,9570,USD_ISD_EXCHANGE_RATE_PRICE_PREV,2.2528000239
